2380842773064,-2.1290438,-3.152565,9.486425,3037
2380852325066,-1.4748282,-2.858677,9.184756,3037
2380862273797,-1.376666,-2.9173348,9.06744,3037
2380872314081,-1.6681601,-2.96881,9.124303,3037
2380882323846,-1.7962499,-2.8275523,9.31524,3037
2380892303093,-1.6531962,-2.8006175,9.185355,3037
2380903228386,-1.38325,-2.8293478,8.992023,3037
2380912322624,-1.1270704,-2.8209682,8.690353,3037
2380922332390,-0.8846575,-2.794632,8.684967,3037
2380932342156,-0.729633,-2.7102363,8.630499,3037
2380942382440,-1.34195,-2.7132292,8.432977,3037
2380952361688,-1.7513585,-2.641403,8.449138,3037
2380963073359,-0.99419224,-2.5384524,8.586804,3037
2380972411737,-0.090381116,-2.5701754,8.42759,3037
2380982390984,0.12389994,-2.7060466,8.040328,3037
2380992400749,-0.06943185,-2.7281928,7.814076,3037
2381002441033,-0.38606504,-2.6916811,7.911041,3037
2381012420281,-0.6422446,-2.6426,8.294113,3037
2381023131952,-0.9331401,-2.6204538,8.757391,3037
2381032439813,-1.1378443,-2.5270798,9.0554695,3037
2381042449578,-1.4161704,-2.496554,9.297882,3037
2381052459343,-1.5939398,-2.5061307,9.509171,3037
2381062469108,-1.9075803,-2.5025394,9.8042555,3037
2381072478874,-2.2529438,-2.5079262,9.862315,3037
2381083404168,-2.4863784,-2.4774003,9.898229,3037
2381092498406,-2.3463178,-2.5031378,9.969456,3037
2381102508172,-2.023699,-2.6210523,9.886856,3037
2381112517938,-1.7723078,-2.6431987,9.90601,3037
2381122527704,-1.5711949,-2.6844985,9.966463,3037
2381132567987,-1.5717934,-2.7150247,10.01734,3037
2381143249139,-1.6041151,-2.6982653,10.117896,3037
2381152556999,-1.5945383,-2.730587,10.052056,3037
2381162566765,-1.5765818,-2.7204118,9.958083,3037
2381172576531,-1.5771804,-2.693477,9.804854,3037
2381182586297,-1.6136919,-2.7132292,9.701904,3037
2381192596063,-1.6950948,-2.7395654,9.734824,3037
2381203673943,-1.7495629,-2.7515364,9.646238,3037
2381212615593,-1.8273745,-2.9221232,9.564238,3037
2381222625358,-2.0099323,-2.938284,9.623494,3037
2381232635124,-2.1859062,-2.866458,9.731233,3037
2381242644890,-2.3175871,-2.842516,9.698911,3037
2381252654656,-2.259528,-2.7635074,9.583391,3037
2381263579950,-2.0578163,-2.5959132,9.291298,3037
2381272674188,-1.8525136,-2.520496,8.985439,3037
2381282714472,-1.7262194,-2.505532,8.776545,3037
2381292693719,-1.6543933,-2.5258827,8.713099,3037
2381302703484,-1.6555905,-2.5570073,8.634089,3037
2381312713249,-1.661576,-2.6342204,8.689755,3037
2381323424920,-1.644218,-2.7539306,8.773552,3037
2381332732781,-1.6783354,-2.8987796,8.84478,3037
